"id","lrt_stat","lrt_pval","mle","mle_bc","mle_negbin"
"C1","0",1,"0.129948377416903","0.128631419256765","0.129948248828278"
"C2","1.08141080090718e-07",0.499868808587067,"0.177723798791474","0.175333835548117","0.177719668730039"
"C3","0",1,"0.106799428831786","0.103636591414632","0.106793894840494"
"C4","0.411725742009821",0.260547442008814,"0.13503369059245","0.125940150517088","0.349516862239549"
"C5","0.492246370447873",0.241463478831941,"0.203493806918731","0.189657733019137","0.862259596528083"
"C6","0",1,"0.314119779768995","0.301461365119997","0.31411994704337"
"C7","0",1,"0.626587961340996","0.619204410089567","0.626599855640499"
"C8","0",1,"1.05671117802755","1.04145186053354","1.05671326049263"
"C9","0",1,"0.514711555807302","0.484198745558873","0.514711559160583"
"C10","1.43927714854871",0.115128174665492,"0.791195403464719","0.751438884605294","1.97089769063179"
"C11","0.042711841171311",0.418134406004303,"0.884812887625524","0.825799676384319","1.04877426180201"
"C12","1.49616516864626e-06",0.499512022578888,"1.41829389631339","1.4001628651571","1.41833840387986"
"C13","7.46899331614822",0.00313853204485857,"1.40557015965242","1.19482012423442","6.17650985944621"
"C14","0",1,"2.20255111443104","1.73268561263679","2.20256803206909"
"C15","0",1,"2.95250713079882","2.62091756195474","2.95252055670772"
"C16","0",1,"2.96793334773208","2.70352066865879","2.96793433695513"
"C17","0.482525919832774",0.243640200507936,"3.03365377847072","2.73973602421498","4.67896239526307"
